,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,hcluster
14,2020-9-17-0,Format1,300,250,75000,Inter227,App,Mobile,Video,967,181,178,1,0.0,0.35,0.0,0.56,0.0,0.0,4
15,2020-9-15-22,Format1,300,250,75000,inter230,Video,Mobile,Video,1787,427,426,1,0.0,0.35,0.0,0.23,0.0,0.0,4
16,2020-9-20-18,Format1,300,250,75000,Inter226,Web,Mobile,Video,1467,307,303,2,0.0,0.35,0.0,0.66,0.0,0.0,4
17,2020-9-28-9,Format1,300,250,75000,Inter219,Video,Desktop,Display,2027,369,364,1,0.0,0.35,0.0,0.27,0.0,0.0,4
18,2020-9-28-8,Format6,336,250,84000,inter230,Video,Mobile,Video,2070,308,308,1,0.0,0.35,0.0,0.32,0.0,0.0,4
19,2020-9-28-13,Format1,300,250,75000,Inter225,Video,Mobile,Display,1848,244,239,1,0.0,0.35,0.0,0.42,0.0,0.0,4
20,2020-10-2-20,Format1,300,250,75000,Inter220,Web,Mobile,Display,2203,345,343,1,0.0,0.35,0.0,0.29,0.0,0.0,4
21,2020-10-1-0,Format1,300,250,75000,Inter229,Video,Desktop,Video,1126,167,162,1,0.0,0.35,0.0,0.62,0.0,0.0,4
22,2020-9-30-20,Format1,300,250,75000,Inter217,Web,Desktop,Display,1828,278,273,1,0.0,0.35,0.0,0.37,0.0,0.0,4
23,2020-9-30-21,Format1,300,250,75000,Inter219,Video,Desktop,Display,1958,302,295,1,0.0,0.35,0.0,0.34,0.0,0.0,4
24,2020-9-30-19,Format1,300,250,75000,Inter227,App,Mobile,Display,2205,309,303,1,0.0,0.35,0.0,0.33,0.0,0.0,4
25,2020-9-16-23,Format6,336,250,84000,Inter227,App,Mobile,Video,1120,192,192,1,0.0,0.35,0.0,0.52,0.0,0.0,4
26,2020-10-7-19,Format1,300,250,75000,Inter217,Web,Desktop,Display,1400,233,233,1,0.0,0.35,0.0,0.43,0.0,0.0,4
27,2020-10-8-12,Format1,300,250,75000,Inter219,Video,Desktop,Video,1493,236,234,1,0.0,0.35,0.0,0.43,0.0,0.0,4
28,2020-10-6-13,Format6,336,250,84000,Inter220,Web,Mobile,Display,1945,341,340,1,0.0,0.35,0.0,0.29,0.0,0.0,4
29,2020-10-4-23,Format1,300,250,75000,Inter217,Web,Desktop,Video,1413,292,288,1,0.0,0.35,0.0,0.35,0.0,0.0,4
30,2020-10-6-23,Format1,300,250,75000,Inter225,Video,Mobile,Video,1768,367,364,1,0.0,0.35,0.0,0.27,0.0,0.0,4
31,2020-10-4-22,Format6,336,250,84000,Inter222,Video,Desktop,Display,1804,352,343,1,0.0,0.35,0.0,0.29,0.0,0.0,4
32,2020-10-2-8,Format1,300,250,75000,Inter221,App,Mobile,Video,1622,204,200,1,0.0,0.35,0.0,0.5,0.0,0.0,4
33,2020-9-30-8,Format6,336,250,84000,Inter226,Web,Mobile,Display,1749,228,226,1,0.0,0.35,0.0,0.44,0.0,0.0,4
34,2020-10-17-19,Format1,300,250,75000,Inter227,App,Mobile,Video,1358,214,209,1,0.0,0.35,0.0,0.48,0.0,0.0,4
35,2020-10-15-21,Format1,300,250,75000,Inter225,Video,Mobile,Video,2249,390,390,1,0.0,0.35,0.0,0.26,0.0,0.0,4
36,2020-10-28-14,Format1,300,250,75000,Inter219,Video,Desktop,Display,1428,211,208,1,0.0,0.35,0.0,0.48,0.0,0.0,4
37,2020-10-26-21,Format1,300,250,75000,Inter225,Video,Mobile,Display,2370,409,408,1,0.0,0.35,0.0,0.25,0.0,0.0,4
38,2020-11-8-1,Format6,336,250,84000,Inter228,Video,Mobile,Video,879,149,146,1,0.0,0.35,0.0,0.68,0.0,0.0,4
39,2020-11-8-13,Format6,336,250,84000,Inter218,App,Mobile,Video,1485,258,255,1,0.0,0.35,0.0,0.39,0.0,0.0,4
40,2020-11-5-23,Format1,300,250,75000,Inter227,App,Mobile,Display,1557,280,277,1,0.0,0.35,0.0,0.36,0.0,0.0,4
41,2020-11-3-16,Format1,300,250,75000,Inter227,App,Mobile,Display,1519,286,280,1,0.0,0.35,0.0,0.36,0.0,0.0,4
42,2020-11-6-17,Format6,336,250,84000,Inter222,Video,Desktop,Display,1502,229,224,1,0.0,0.35,0.0,0.45,0.0,0.0,4
43,2020-11-6-0,Format1,300,250,75000,Inter219,Video,Desktop,Video,981,135,135,1,0.0,0.35,0.0,0.74,0.0,0.0,4
44,2020-11-8-19,Format1,300,250,75000,Inter224,Web,Desktop,Display,1454,267,264,1,0.0,0.35,0.0,0.38,0.0,0.0,4
45,2020-11-3-22,Format1,300,250,75000,Inter217,Web,Desktop,Video,2101,427,424,1,0.0,0.35,0.0,0.24,0.0,0.0,4
46,2020-11-9-9,Format1,300,250,75000,Inter228,Video,Mobile,Display,1430,270,269,1,0.0,0.35,0.0,0.37,0.0,0.0,4
47,2020-11-16-22,Format1,300,250,75000,Inter222,Video,Desktop,Video,1704,215,212,1,0.0,0.35,0.0,0.47,0.0,0.0,4
48,2020-11-16-11,Format1,300,250,75000,Inter223,Web,Mobile,Video,1845,258,241,1,0.01,0.35,0.0,0.41,0.04,0.01,4
49,2020-11-17-15,Format1,300,250,75000,Inter225,Video,Mobile,Video,1462,213,206,1,0.0,0.35,0.0,0.49,0.0,0.0,4
50,2020-11-16-23,Format1,300,250,75000,inter230,Video,Mobile,Video,1595,274,273,2,0.0,0.35,0.0,0.73,0.0,0.0,4
51,2020-11-17-19,Format1,300,250,75000,Inter222,Video,Desktop,Display,1816,315,309,1,0.0,0.35,0.0,0.32,0.0,0.0,4
52,2020-11-20-3,Format1,300,250,75000,Inter218,App,Mobile,Display,391,96,91,1,0.0,0.35,0.0,1.1,0.0,0.0,4
53,2020-11-23-13,Format1,300,250,75000,Inter224,Web,Desktop,Display,2008,277,274,1,0.0,0.35,0.0,0.36,0.0,0.0,4
54,2020-11-23-15,Format1,300,250,75000,Inter218,App,Mobile,Display,1973,456,355,1,0.0,0.35,0.0,0.28,0.0,0.0,4
55,2020-11-23-21,Format1,300,250,75000,Inter224,Web,Desktop,Video,2210,335,333,1,0.0,0.35,0.0,0.3,0.0,0.0,4
56,2020-11-22-15,Format1,300,250,75000,Inter222,Video,Desktop,Display,1835,327,321,1,0.0,0.35,0.0,0.31,0.0,0.0,4
57,2020-9-26-11,Format1,300,250,75000,Inter226,Web,Mobile,Video,1259,193,189,2,0.0,0.35,0.0,1.06,0.0,0.0,4
58,2020-9-23-22,Format1,300,250,75000,Inter220,Web,Mobile,Video,1703,240,236,1,0.0,0.35,0.0,0.42,0.0,0.0,4
59,2020-9-24-21,Format1,300,250,75000,Inter219,Video,Desktop,Video,3150,315,303,1,0.0,0.35,0.0,0.33,0.0,0.0,4
60,2020-9-26-9,Format1,300,250,75000,Inter221,App,Mobile,Video,1729,218,216,1,0.0,0.35,0.0,0.46,0.0,0.0,4
61,2020-10-12-22,Format1,300,250,75000,inter230,Video,Mobile,Video,2269,493,488,1,0.0,0.35,0.0,0.2,0.0,0.0,4
62,2020-10-25-15,Format1,300,250,75000,Inter228,Video,Mobile,Display,1632,281,280,1,0.0,0.35,0.0,0.36,0.0,0.0,4
63,2020-10-24-23,Format1,300,250,75000,Inter224,Web,Desktop,Display,2002,285,280,1,0.0,0.35,0.0,0.36,0.0,0.0,4
64,2020-10-25-9,Format1,300,250,75000,Inter220,Web,Mobile,Display,1364,228,226,1,0.0,0.35,0.0,0.44,0.0,0.0,4
65,2020-10-25-2,Format1,300,250,75000,Inter221,App,Mobile,Display,1251,159,158,1,0.0,0.35,0.0,0.63,0.0,0.0,4
66,2020-10-23-18,Format1,300,250,75000,Inter228,Video,Mobile,Video,2248,543,541,1,0.0,0.35,0.0,0.18,0.0,0.0,4
67,2020-10-22-6,Format6,336,250,84000,Inter225,Video,Mobile,Video,822,159,158,1,0.0,0.35,0.0,0.63,0.0,0.0,4
68,2020-10-30-20,Format1,300,250,75000,inter230,Video,Mobile,Display,1854,379,378,1,0.01,0.35,0.0,0.26,0.03,0.01,4
69,2020-10-30-18,Format6,336,250,84000,Inter228,Video,Mobile,Video,1783,285,271,1,0.0,0.35,0.0,0.37,0.0,0.0,4
70,2020-10-31-2,Format1,300,250,75000,Inter224,Web,Desktop,Display,479,79,79,1,0.0,0.35,0.0,1.27,0.0,0.0,4
71,2020-10-29-18,Format1,300,250,75000,Inter217,Web,Desktop,Display,1335,311,311,1,0.0,0.35,0.0,0.32,0.0,0.0,4
72,2020-10-30-6,Format1,300,250,75000,inter230,Video,Mobile,Video,857,124,124,1,0.0,0.35,0.0,0.81,0.0,0.0,4
73,2020-10-28-21,Format1,300,250,75000,Inter217,Web,Desktop,Display,1789,306,300,1,0.0,0.35,0.0,0.33,0.0,0.0,4
74,2020-10-28-19,Format1,300,250,75000,Inter224,Web,Desktop,Video,1784,274,274,1,0.0,0.35,0.0,0.36,0.0,0.0,4
75,2020-11-6-22,Format1,300,250,75000,Inter229,Video,Desktop,Display,2095,379,375,1,0.0,0.35,0.0,0.27,0.0,0.0,4
76,2020-11-4-22,Format1,300,250,75000,Inter218,App,Mobile,Display,1800,308,307,1,0.0,0.35,0.0,0.33,0.0,0.0,4
77,2020-11-13-21,Format1,300,250,75000,Inter224,Web,Desktop,Video,1732,275,273,1,0.0,0.35,0.0,0.37,0.0,0.0,4
78,2020-11-12-22,Format1,300,250,75000,Inter221,App,Mobile,Display,1594,250,247,1,0.0,0.35,0.0,0.4,0.0,0.0,4
79,2020-11-14-8,Format1,300,250,75000,Inter226,Web,Mobile,Video,1605,215,213,1,0.0,0.35,0.0,0.47,0.0,0.0,4
80,2020-11-14-2,Format1,300,250,75000,Inter227,App,Mobile,Video,631,67,65,1,0.0,0.35,0.0,1.54,0.0,0.0,4
81,2020-11-19-17,Format1,300,250,75000,Inter217,Web,Desktop,Display,1671,373,372,1,0.0,0.35,0.0,0.27,0.0,0.0,4
82,2020-11-17-21,Format1,300,250,75000,Inter224,Web,Desktop,Display,1424,274,269,1,0.0,0.35,0.0,0.37,0.0,0.0,4
83,2020-10-7-20,Format1,300,250,75000,Inter219,Video,Desktop,Video,1619,214,211,1,0.0,0.35,0.0,0.47,0.0,0.0,4
84,2020-9-22-19,Format1,300,250,75000,Inter222,Video,Desktop,Display,1775,349,348,1,0.0,0.35,0.0,0.29,0.0,0.0,4
85,2020-10-5-23,Format1,300,250,75000,inter230,Video,Mobile,Video,1888,376,368,1,0.0,0.35,0.0,0.27,0.0,0.0,4
86,2020-10-7-23,Format1,300,250,75000,Inter221,App,Mobile,Video,1842,286,285,1,0.0,0.35,0.0,0.35,0.0,0.0,4
87,2020-10-11-21,Format1,300,250,75000,Inter221,App,Mobile,Video,1970,359,355,1,0.0,0.35,0.0,0.28,0.0,0.0,4
88,2020-10-23-20,Format1,300,250,75000,Inter223,Web,Mobile,Display,1914,472,465,1,0.0,0.35,0.0,0.22,0.0,0.0,4
89,2020-11-14-23,Format1,300,250,75000,Inter227,App,Mobile,Display,1587,251,250,1,0.0,0.35,0.0,0.4,0.0,0.0,4
90,2020-9-14-17,Format1,300,250,75000,Inter225,Video,Mobile,Video,1752,349,347,2,0.0,0.35,0.0,0.58,0.0,0.0,4
91,2020-9-14-20,Format1,300,250,75000,Inter226,Web,Mobile,Display,1659,450,447,1,0.0,0.35,0.0,0.22,0.0,0.0,4
92,2020-9-29-13,Format1,300,250,75000,Inter229,Video,Desktop,Video,1474,270,254,1,0.0,0.35,0.0,0.39,0.0,0.0,4
93,2020-10-18-19,Format1,300,250,75000,Inter221,App,Mobile,Video,1406,342,334,1,0.0,0.35,0.0,0.3,0.0,0.0,4
94,2020-10-19-4,Format1,300,250,75000,Inter223,Web,Mobile,Video,488,51,51,1,0.0,0.35,0.0,1.96,0.0,0.0,4
95,2020-11-22-9,Format1,300,250,75000,Inter226,Web,Mobile,Video,2283,377,375,1,0.0,0.35,0.0,0.27,0.0,0.0,4
96,2020-9-22-16,Format1,300,250,75000,Inter222,Video,Desktop,Video,1793,251,246,1,0.0,0.35,0.0,0.41,0.0,0.0,4
97,2020-9-18-14,Format1,300,250,75000,Inter222,Video,Desktop,Video,1191,228,225,1,0.0,0.35,0.0,0.44,0.0,0.0,4
98,2020-10-16-1,Format1,300,250,75000,inter230,Video,Mobile,Display,804,179,178,2,0.0,0.35,0.0,1.12,0.0,0.0,4
99,2020-9-11-4,Format1,300,250,75000,Inter223,Web,Mobile,Video,334,79,79,1,0.0,0.35,0.0,1.27,0.0,0.0,4
100,2020-9-9-10,Format1,300,250,75000,Inter227,App,Mobile,Video,1475,162,155,1,0.02,0.35,0.01,0.65,0.13,0.02,4
101,2020-9-12-23,Format1,300,250,75000,Inter220,Web,Mobile,Video,1935,282,269,1,0.02,0.35,0.01,0.37,0.07,0.02,4
102,2020-9-14-18,Format1,300,250,75000,Inter219,Video,Desktop,Display,2145,384,382,1,0.01,0.35,0.01,0.26,0.03,0.01,4
103,2020-9-16-11,Format1,300,250,75000,Inter226,Web,Mobile,Display,1173,254,253,1,0.01,0.35,0.01,0.4,0.04,0.01,4
104,2020-9-16-1,Format1,300,250,75000,Inter225,Video,Mobile,Video,681,117,116,1,0.01,0.35,0.01,0.86,0.09,0.01,4
105,2020-9-14-23,Format1,300,250,75000,Inter217,Web,Desktop,Display,1909,343,342,2,0.01,0.35,0.01,0.58,0.03,0.0,4
106,2020-9-29-17,Format1,300,250,75000,Inter224,Web,Desktop,Display,1563,148,148,1,0.02,0.35,0.01,0.68,0.14,0.02,4
107,2020-10-6-10,Format6,336,250,84000,Inter217,Web,Desktop,Video,1634,270,268,1,0.02,0.35,0.01,0.37,0.07,0.02,4
108,2020-10-18-14,Format1,300,250,75000,Inter218,App,Mobile,Video,1237,307,306,1,0.01,0.35,0.01,0.33,0.03,0.01,4
109,2020-10-14-9,Format1,300,250,75000,Inter223,Web,Mobile,Display,1380,198,196,1,0.02,0.35,0.01,0.51,0.1,0.02,4
110,2020-11-4-1,Format1,300,250,75000,Inter225,Video,Mobile,Video,801,165,165,2,0.02,0.35,0.01,1.21,0.12,0.01,4
111,2020-11-4-13,Format1,300,250,75000,Inter229,Video,Desktop,Video,1170,223,218,3,0.02,0.35,0.01,1.38,0.09,0.01,4
112,2020-11-5-22,Format1,300,250,75000,Inter223,Web,Mobile,Video,3330,467,464,2,0.01,0.35,0.01,0.43,0.02,0.0,4
113,2020-11-5-19,Format6,336,250,84000,Inter225,Video,Mobile,Video,2570,301,299,1,0.01,0.35,0.01,0.33,0.03,0.01,4
114,2020-11-18-16,Format1,300,250,75000,Inter219,Video,Desktop,Video,1681,219,207,1,0.02,0.35,0.01,0.48,0.1,0.02,4
115,2020-11-20-19,Format1,300,250,75000,Inter227,App,Mobile,Display,1994,322,314,3,0.02,0.35,0.01,0.96,0.06,0.01,4
116,2020-11-21-17,Format1,300,250,75000,Inter229,Video,Desktop,Display,1586,224,219,1,0.01,0.35,0.01,0.46,0.05,0.01,4
117,2020-11-8-17,Format5,720,300,216000,Inter227,App,Mobile,Video,20,10,10,1,0.02,0.35,0.01,10.0,2.0,0.02,3
118,2020-9-11-10,Format1,300,250,75000,Inter223,Web,Mobile,Video,1229,214,214,1,0.01,0.35,0.01,0.47,0.05,0.01,4
119,2020-10-12-23,Format1,300,250,75000,Inter229,Video,Desktop,Video,1751,293,293,1,0.01,0.35,0.01,0.34,0.03,0.01,4
120,2020-10-13-10,Format1,300,250,75000,Inter229,Video,Desktop,Display,1736,182,178,1,0.01,0.35,0.01,0.56,0.06,0.01,4
121,2020-10-11-7,Format1,300,250,75000,Inter221,App,Mobile,Display,1194,119,119,1,0.01,0.35,0.01,0.84,0.08,0.01,4
122,2020-10-24-19,Format1,300,250,75000,Inter227,App,Mobile,Display,1442,413,411,1,0.01,0.35,0.01,0.24,0.02,0.01,4
123,2020-10-22-21,Format1,300,250,75000,inter230,Video,Mobile,Display,2176,446,445,2,0.01,0.35,0.01,0.45,0.02,0.0,4
124,2020-10-23-17,Format1,300,250,75000,Inter224,Web,Desktop,Display,2039,564,559,1,0.01,0.35,0.01,0.18,0.02,0.01,4
125,2020-10-21-22,Format1,300,250,75000,Inter226,Web,Mobile,Video,1767,305,302,1,0.01,0.35,0.01,0.33,0.03,0.01,4
126,2020-9-6-10,Format1,300,250,75000,Inter229,Video,Desktop,Display,1934,355,353,1,0.03,0.35,0.02,0.28,0.08,0.03,4
127,2020-9-9-15,Format1,300,250,75000,Inter224,Web,Desktop,Video,1720,239,238,1,0.03,0.35,0.02,0.42,0.13,0.03,4
128,2020-9-13-9,Format1,300,250,75000,Inter221,App,Mobile,Display,1705,285,282,2,0.03,0.35,0.02,0.71,0.11,0.02,4
129,2020-9-27-23,Format6,336,250,84000,Inter222,Video,Desktop,Video,1504,208,201,4,0.03,0.35,0.02,1.99,0.15,0.01,4
130,2020-10-1-17,Format1,300,250,75000,Inter221,App,Mobile,Display,1720,225,224,3,0.02,0.35,0.02,1.34,0.09,0.01,4
131,2020-10-7-12,Format1,300,250,75000,inter230,Video,Mobile,Video,1336,222,217,1,0.03,0.35,0.02,0.46,0.14,0.03,4
132,2020-10-18-9,Format1,300,250,75000,Inter218,App,Mobile,Video,1451,261,259,1,0.03,0.35,0.02,0.39,0.12,0.03,4
133,2020-10-13-21,Format7,300,600,180000,Inter226,Web,Mobile,Video,15,8,7,1,0.03,0.35,0.02,14.29,4.29,0.03,3
134,2020-9-19-14,Format1,300,250,75000,inter230,Video,Mobile,Display,1279,321,319,2,0.03,0.35,0.02,0.63,0.09,0.02,4
135,2020-10-9-18,Format1,300,250,75000,Inter220,Web,Mobile,Display,1509,284,281,1,0.03,0.35,0.02,0.36,0.11,0.03,4
136,2020-10-22-10,Format1,300,250,75000,Inter223,Web,Mobile,Display,1433,237,234,1,0.03,0.35,0.02,0.43,0.13,0.03,4
137,2020-9-4-21,Format1,300,250,75000,Inter221,App,Mobile,Video,2230,380,380,1,0.05,0.35,0.03,0.26,0.13,0.05,4
138,2020-9-3-21,Format1,300,250,75000,Inter222,Video,Desktop,Display,1838,311,308,1,0.05,0.35,0.03,0.32,0.16,0.05,4
139,2020-9-7-21,Format1,300,250,75000,Inter217,Web,Desktop,Video,1940,416,404,1,0.05,0.35,0.03,0.25,0.12,0.05,4
140,2020-9-7-22,Format1,300,250,75000,Inter226,Web,Mobile,Video,1879,344,334,1,0.05,0.35,0.03,0.3,0.15,0.05,4
141,2020-9-13-15,Format1,300,250,75000,inter230,Video,Mobile,Display,1722,359,353,3,0.05,0.35,0.03,0.85,0.14,0.02,4
142,2020-9-17-11,Format5,720,300,216000,Inter221,App,Mobile,Video,28,19,15,1,0.05,0.35,0.03,6.67,3.33,0.05,3
143,2020-10-7-22,Format6,336,250,84000,Inter218,App,Mobile,Video,2319,449,443,1,0.04,0.35,0.03,0.23,0.09,0.04,4
144,2020-10-5-15,Format1,300,250,75000,Inter229,Video,Desktop,Display,1793,375,374,1,0.05,0.35,0.03,0.27,0.13,0.05,4
145,2020-10-27-13,Format1,300,250,75000,Inter223,Web,Mobile,Display,1852,266,265,2,0.04,0.35,0.03,0.75,0.15,0.02,4
146,2020-11-8-15,Format5,720,300,216000,Inter227,App,Mobile,Video,28,16,13,2,0.04,0.35,0.03,15.38,3.08,0.02,3
147,2020-9-19-13,Format1,300,250,75000,Inter217,Web,Desktop,Video,1566,288,286,2,0.05,0.35,0.03,0.7,0.17,0.02,4
148,2020-10-3-13,Format1,300,250,75000,Inter227,App,Mobile,Display,1494,322,321,1,0.04,0.35,0.03,0.31,0.12,0.04,4
149,2020-10-4-10,Format6,336,250,84000,Inter219,Video,Desktop,Display,1493,297,297,1,0.04,0.35,0.03,0.34,0.13,0.04,4
150,2020-10-26-14,Format1,300,250,75000,Inter217,Web,Desktop,Display,1536,290,289,1,0.04,0.35,0.03,0.35,0.14,0.04,4
151,2020-10-20-1,Format1,300,250,75000,Inter223,Web,Mobile,Display,768,161,158,1,0.04,0.35,0.03,0.63,0.25,0.04,4
152,2020-9-4-16,Format1,300,250,75000,Inter224,Web,Desktop,Display,1689,330,329,1,0.07,0.35,0.04,0.3,0.21,0.07,4
153,2020-9-13-18,Format1,300,250,75000,Inter224,Web,Desktop,Video,1668,329,328,1,0.05,0.35,0.04,0.3,0.15,0.05,4
154,2020-10-2-13,Format1,300,250,75000,Inter227,App,Mobile,Display,1687,293,292,1,0.06,0.35,0.04,0.34,0.21,0.06,4
155,2020-9-30-17,Format5,720,300,216000,Inter225,Video,Mobile,Video,24,14,12,1,0.06,0.35,0.04,8.33,5.0,0.06,3
156,2020-11-2-23,Format1,300,250,75000,Inter217,Web,Desktop,Video,1934,430,430,1,0.06,0.35,0.04,0.23,0.14,0.06,4
157,2020-11-8-23,Format5,720,300,216000,Inter220,Web,Mobile,Video,36,10,8,1,0.07,0.35,0.04,12.5,8.75,0.07,3
158,2020-11-21-18,Format1,300,250,75000,Inter228,Video,Mobile,Video,1587,202,198,1,0.06,0.35,0.04,0.51,0.3,0.06,4
159,2020-10-9-21,Format1,300,250,75000,Inter221,App,Mobile,Video,1747,328,322,2,0.06,0.35,0.04,0.62,0.19,0.03,4
160,2020-9-30-19,Format5,720,300,216000,Inter227,App,Mobile,Video,5,3,2,1,0.07,0.35,0.05,50.0,35.0,0.07,3
161,2020-10-18-1,Format1,300,250,75000,Inter219,Video,Desktop,Display,734,149,142,1,0.07,0.35,0.05,0.7,0.49,0.07,4
162,2020-11-6-9,Format5,720,300,216000,Inter226,Web,Mobile,Video,21,14,12,1,0.08,0.35,0.05,8.33,6.67,0.08,3
163,2020-9-21-16,Format5,720,300,216000,Inter222,Video,Desktop,Video,12,7,7,2,0.07,0.35,0.05,28.57,10.0,0.04,3
164,2020-9-25-17,Format1,300,250,75000,Inter223,Web,Mobile,Display,1668,207,206,2,0.08,0.35,0.05,0.97,0.39,0.04,4
165,2020-9-24-20,Format5,720,300,216000,Inter225,Video,Mobile,Video,70,44,38,1,0.08,0.35,0.05,2.63,2.11,0.08,3
166,2020-9-19-21,Format1,300,250,75000,Inter222,Video,Desktop,Display,1582,330,324,1,0.07,0.35,0.05,0.31,0.22,0.07,4
167,2020-10-25-10,Format1,300,250,75000,Inter219,Video,Desktop,Video,1957,307,307,2,0.07,0.35,0.05,0.65,0.23,0.04,4
168,2020-10-30-18,Format5,720,300,216000,Inter217,Web,Desktop,Display,16,11,11,1,0.07,0.35,0.05,9.09,6.36,0.07,3
169,2020-9-13-1,Format6,336,250,84000,Inter217,Web,Desktop,Display,7,5,5,1,0.09,0.35,0.06,20.0,18.0,0.09,3
170,2020-9-18-15,Format6,336,250,84000,Inter219,Video,Desktop,Display,1209,277,275,1,0.09,0.35,0.06,0.36,0.33,0.09,4
171,2020-9-17-4,Format4,120,600,72000,Inter220,Web,Mobile,Video,164,24,24,2,0.09,0.35,0.06,8.33,3.75,0.04,2
172,2020-10-2-12,Format6,336,250,84000,Inter228,Video,Mobile,Display,1317,225,223,1,0.09,0.35,0.06,0.45,0.4,0.09,4
173,2020-10-17-21,Format1,300,250,75000,Inter229,Video,Desktop,Video,1905,344,341,1,0.09,0.35,0.06,0.29,0.26,0.09,4
174,2020-10-27-10,Format1,300,250,75000,Inter227,App,Mobile,Display,1359,183,183,1,0.1,0.35,0.06,0.55,0.55,0.1,4
175,2020-10-27-0,Format5,720,300,216000,Inter217,Web,Desktop,Display,18,12,11,1,0.09,0.35,0.06,9.09,8.18,0.09,3
176,2020-10-11-12,Format1,300,250,75000,Inter229,Video,Desktop,Display,1744,332,321,1,0.1,0.35,0.06,0.31,0.31,0.1,4
177,2020-10-31-14,Format5,720,300,216000,inter230,Video,Mobile,Video,27,18,16,2,0.09,0.35,0.06,12.5,5.62,0.04,3
178,2020-9-3-18,Format1,300,250,75000,Inter223,Web,Mobile,Video,1895,370,367,1,0.11,0.35,0.07,0.27,0.3,0.11,4
179,2020-9-13-10,Format5,720,300,216000,Inter228,Video,Mobile,Video,25,17,16,2,0.11,0.35,0.07,12.5,6.88,0.06,3
180,2020-10-16-17,Format5,720,300,216000,Inter219,Video,Desktop,Display,23,17,15,2,0.11,0.35,0.07,13.33,7.33,0.06,3
181,2020-11-8-13,Format6,336,250,84000,Inter227,App,Mobile,Display,27,18,13,1,0.1,0.35,0.07,7.69,7.69,0.1,3
182,2020-9-6-10,Format4,120,600,72000,Inter225,Video,Mobile,Video,235,49,43,4,0.12,0.35,0.08,9.3,2.79,0.03,2
183,2020-9-3-9,Format1,300,250,75000,Inter224,Web,Desktop,Video,1360,264,264,1,0.12,0.35,0.08,0.38,0.45,0.12,4
184,2020-9-5-12,Format4,120,600,72000,Inter220,Web,Mobile,Video,112,14,12,4,0.13,0.35,0.08,33.33,10.83,0.03,2
185,2020-9-8-1,Format4,120,600,72000,Inter223,Web,Mobile,Display,33,5,5,2,0.13,0.35,0.08,40.0,26.0,0.06,2
186,2020-10-7-4,Format4,120,600,72000,Inter228,Video,Mobile,Display,183,38,37,1,0.12,0.35,0.08,2.7,3.24,0.12,2
187,2020-11-24-7,Format4,120,600,72000,Inter226,Web,Mobile,Video,23,20,20,2,0.12,0.35,0.08,10.0,6.0,0.06,2
188,2020-10-7-16,Format5,720,300,216000,Inter218,App,Mobile,Display,74,43,35,2,0.12,0.35,0.08,5.71,3.43,0.06,3
189,2020-10-10-17,Format5,720,300,216000,Inter223,Web,Mobile,Video,15,9,8,1,0.12,0.35,0.08,12.5,15.0,0.12,3
